khmer_input,robotic_command
យើងទៅមុខ ១០.៣៧ ម៉ែត្រ ដោយល្បឿន ៩.៧៣ ម៉ែត្រក្នុង១វិនាទី រួចហើយ បត់ស្ដាំ ១២៧ ដឺក្រេ។                                          ,"{'action': 'move', 'params': {'linear_speed': 9.73, 'distance': 10.37, 'is_forward': True, 'unit': 'meter'}}/n{'action': 'rotate', 'params': {'angle': 127, 'is_clockwise': True, 'unit': 'degree'}}"
ទៅក្រោយ ១៧.៥៥ ម៉ែត្រ ដោយល្បឿន ៩.១៥ ម៉/វិ បន្ត បត់ឆ្វេង ១០៤ ដឺក្រេ។                                                     ,"{'action': 'move', 'params': {'linear_speed': 9.15, 'distance': 17.55, 'is_forward': False, 'unit': 'meter'}}/n{'action': 'rotate', 'params': {'angle': 104, 'is_clockwise': False, 'unit': 'degree'}}"
បកក្រោយ ៩.៤៩ ម៉ែត្រ ក្នុងល្បឿន ៤.១៥ ម៉/វិ បន្ត ងាកទៅឆ្វេង ៣៦ ដឺក្រេ។                                                    ,"{'action': 'move', 'params': {'linear_speed': 4.15, 'distance': 9.49, 'is_forward': False, 'unit': 'meter'}}/n{'action': 'rotate', 'params': {'angle': 36, 'is_clockwise': False, 'unit': 'degree'}}"
ទៅមុខ ៩.៩៩ ម៉ែត្រ ក្នុងល្បឿន ៤.១៥ ម៉/វិ បន្ត បង្វែឆ្វេង ៧២ ដឺក្រេ។                                                       ,"{'action': 'move', 'params': {'linear_speed': 4.15, 'distance': 9.99, 'is_forward': True, 'unit': 'meter'}}/n{'action': 'rotate', 'params': {'angle': 72, 'is_clockwise': False, 'unit': 'degree'}}"
បកក្រោយ ១៦.៤៥ ម៉ែត្រ ក្នុងល្បឿន ៦.៤៤ ម៉ែតក្នុង១វិនាទី បន្ត បង្វែស្ដាំ ២៤៤ ដឺក្រេ។                                            ,"{'action': 'move', 'params': {'linear_speed': 6.44, 'distance': 16.45, 'is_forward': False, 'unit': 'meter'}}/n{'action': 'rotate', 'params': {'angle': 244, 'is_clockwise': True, 'unit': 'degree'}}"
យើងទៅមុខ ៩.៩៩ ម៉ែត្រ ក្នុងល្បឿន ៤.០ ម៉ែត/វិនាទី បន្ត ងាកទៅឆ្វេង ៥៥ ដឺក្រេ។                                               ,"{'action': 'move', 'params': {'linear_speed': 4.0, 'distance': 9.99, 'is_forward': True, 'unit': 'meter'}}/n{'action': 'rotate', 'params': {'angle': 55, 'is_clockwise': False, 'unit': 'degree'}}"
ទៅក្រោយ ២.២១ ម៉ែត្រ ក្នុងល្បឿន ៩.៨១ ម៉/វិ បន្ត បង្វែស្ដាំ ៣៥៣ ដឺក្រេ។                                                     ,"{'action': 'move', 'params': {'linear_speed': 9.81, 'distance': 2.21, 'is_forward': False, 'unit': 'meter'}}/n{'action': 'rotate', 'params': {'angle': 353, 'is_clockwise': True, 'unit': 'degree'}}"
បកក្រោយ ៨.៣៤ ម៉ែត្រ ដោយល្បឿន ៩.៥៧ ម៉ែតក្នុង១វិនាទី បន្ត បង្វែស្ដាំ ២៧៦ ដឺក្រេ។                                             ,"{'action': 'move', 'params': {'linear_speed': 9.57, 'distance': 8.34, 'is_forward': False, 'unit': 'meter'}}/n{'action': 'rotate', 'params': {'angle': 276, 'is_clockwise': True, 'unit': 'degree'}}"
តោះទៅមុខ ១០.៦៩ ម៉ែត្រ ក្នុងល្បឿន ៦.៤៤ ម៉ែតក្នុង១វិនាទី បន្ត បង្វែឆ្វេង ៤៥ ដឺក្រេ។                                           ,"{'action': 'move', 'params': {'linear_speed': 6.44, 'distance': 10.69, 'is_forward': True, 'unit': 'meter'}}/n{'action': 'rotate', 'params': {'angle': 45, 'is_clockwise': False, 'unit': 'degree'}}"
ហេតោះទៅមុខ ១០.៩៥ ម៉ែត្រ នៅល្បឿន ២.៧៧ ម៉ែតក្នុង១វិនាទី បន្ត បង្វែឆ្វេង ៨៤ ដឺក្រេ។                                          ,"{'action': 'move', 'params': {'linear_speed': 2.77, 'distance': 10.95, 'is_forward': True, 'unit': 'meter'}}/n{'action': 'rotate', 'params': {'angle': 84, 'is_clockwise': False, 'unit': 'degree'}}"
ត្រឡប់ក្រោយ ១១.១៦ ម៉ែត្រ ដោយល្បឿន ៨.៨៦ ម៉/វិ បន្ត បង្វែឆ្វេង ២៥៧ ដឺក្រេ។                                                 ,"{'action': 'move', 'params': {'linear_speed': 8.86, 'distance': 11.16, 'is_forward': False, 'unit': 'meter'}}/n{'action': 'rotate', 'params': {'angle': 257, 'is_clockwise': False, 'unit': 'degree'}}"
ហេតោះទៅមុខ ៣.២២ ម៉ែត្រ ដោយល្បឿន ៣.៥៦ ម៉ែតក្នុង១វិនាទី រួចរាល់ហើយ បង្វែស្ដាំ ២០ ដឺក្រេ។                                      ,"{'action': 'move', 'params': {'linear_speed': 3.56, 'distance': 3.22, 'is_forward': True, 'unit': 'meter'}}/n{'action': 'rotate', 'params': {'angle': 20, 'is_clockwise': True, 'unit': 'degree'}}"
យើងត្រឡប់ក្រោយ ៣.៧៥ ម៉ែត្រ នៅល្បឿន ៩.៦៨ ម៉ែតក្នុង១វិនាទី រួចរាល់ហើយ ងាកទៅឆ្វេង ១៥២ ដឺក្រេ។                                  ,"{'action': 'move', 'params': {'linear_speed': 9.68, 'distance': 3.75, 'is_forward': False, 'unit': 'meter'}}/n{'action': 'rotate', 'params': {'angle': 152, 'is_clockwise': False, 'unit': 'degree'}}"
យើងទៅមុខ ១០.៣៧ ម៉ែត្រ នៅល្បឿន ៨.៥៧ ម៉/វិ បន្ទាប់មក ងាកទៅឆ្វេង ៨៤ ដឺក្រេ។                                               ,"{'action': 'move', 'params': {'linear_speed': 8.57, 'distance': 10.37, 'is_forward': True, 'unit': 'meter'}}/n{'action': 'rotate', 'params': {'angle': 84, 'is_clockwise': False, 'unit': 'degree'}}"
យើងត្រឡប់ក្រោយ ២.២២ ម៉ែត្រ នៅល្បឿន ១.៨៥ ម៉ែតក្នុង១វិនាទី រួចរាល់ហើយ បង្វែឆ្វេង ២៥២ ដឺក្រេ។                                   ,"{'action': 'move', 'params': {'linear_speed': 1.85, 'distance': 2.22, 'is_forward': False, 'unit': 'meter'}}/n{'action': 'rotate', 'params': {'angle': 252, 'is_clockwise': False, 'unit': 'degree'}}"
ហេតោះទៅមុខ ៩.៥៣ ម៉ែត្រ ដោយល្បឿន ៦.៤៧ ម៉ែត/វិនាទី រួចហើយ ងាកទៅស្ដាំ ២៧១ ដឺក្រេ។                                          ,"{'action': 'move', 'params': {'linear_speed': 6.47, 'distance': 9.53, 'is_forward': True, 'unit': 'meter'}}/n{'action': 'rotate', 'params': {'angle': 271, 'is_clockwise': True, 'unit': 'degree'}}"
យើងទៅមុខ ២.២២ ម៉ែត្រ នៅល្បឿន ៣.៥៦ ម៉ែតក្នុង១វិនាទី បន្ទាប់មក ងាកទៅឆ្វេង ២៧៦ ដឺក្រេ។                                       ,"{'action': 'move', 'params': {'linear_speed': 3.56, 'distance': 2.22, 'is_forward': True, 'unit': 'meter'}}/n{'action': 'rotate', 'params': {'angle': 276, 'is_clockwise': False, 'unit': 'degree'}}"
ត្រឡប់ក្រោយ ៣.២២ ម៉ែត្រ ក្នុងល្បឿន ៧.២៦ ម៉/វិ រួចហើយ បង្វែឆ្វេង ២៩៨ ដឺក្រេ។                                                ,"{'action': 'move', 'params': {'linear_speed': 7.26, 'distance': 3.22, 'is_forward': False, 'unit': 'meter'}}/n{'action': 'rotate', 'params': {'angle': 298, 'is_clockwise': False, 'unit': 'degree'}}"
បកក្រោយ ៨.៣៤ ម ដោយល្បឿន ៧.២ ម៉ែត្រក្នុង១វិនាទី បន្ត បង្វែស្ដាំ ៣៣៩ ដឺក្រេ។                                                ,"{'action': 'move', 'params': {'linear_speed': 7.2, 'distance': 8.34, 'is_forward': False, 'unit': 'meter'}}/n{'action': 'rotate', 'params': {'angle': 339, 'is_clockwise': True, 'unit': 'degree'}}"
ត្រឡប់ក្រោយ ៣.២៤ ម ដោយល្បឿន ២.៧៧ ម៉ែតក្នុង១វិនាទី បន្ទាប់មក បង្វែស្ដាំ ២៨៣ ដឺក្រេ។                                          ,"{'action': 'move', 'params': {'linear_speed': 2.77, 'distance': 3.24, 'is_forward': False, 'unit': 'meter'}}/n{'action': 'rotate', 'params': {'angle': 283, 'is_clockwise': True, 'unit': 'degree'}}"
យើងទៅមុខ ១២.២២ ម ក្នុងល្បឿន ២.៩២ ម៉ែត/វិនាទី បន្ទាប់មក បត់ស្ដាំ ៣៥៤ ដឺក្រេ។                                               ,"{'action': 'move', 'params': {'linear_speed': 2.92, 'distance': 12.22, 'is_forward': True, 'unit': 'meter'}}/n{'action': 'rotate', 'params': {'angle': 354, 'is_clockwise': True, 'unit': 'degree'}}"
ទៅមុខ ១១.៤៧ ម៉ែត្រ ក្នុងល្បឿន ៦.០៣ ម៉ែត/វិនាទី បន្ទាប់មក បត់ស្ដាំ ២៧៦ ដឺក្រេ។                                               ,"{'action': 'move', 'params': {'linear_speed': 6.03, 'distance': 11.47, 'is_forward': True, 'unit': 'meter'}}/n{'action': 'rotate', 'params': {'angle': 276, 'is_clockwise': True, 'unit': 'degree'}}"
យើងទៅមុខ ៨.២ ម៉ែត្រ នៅល្បឿន ២.៧១ ម៉ែត/វិនាទី រួចរាល់ហើយ បត់ស្ដាំ ២៩៨ ដឺក្រេ។                                              ,"{'action': 'move', 'params': {'linear_speed': 2.71, 'distance': 8.2, 'is_forward': True, 'unit': 'meter'}}/n{'action': 'rotate', 'params': {'angle': 298, 'is_clockwise': True, 'unit': 'degree'}}"
ទៅមុខ ២.២១ ម៉ដោយល្បឿន២.៧៧ ម៉ែតក្នុង១វិនាទី រួចរាល់ហើយ បត់ឆ្វេង ៥៥ ដឺក្រេ។                                                 ,"{'action': 'move', 'params': {'linear_speed': 2.77, 'distance': 2.21, 'is_forward': True, 'unit': 'meter'}}/n{'action': 'rotate', 'params': {'angle': 55, 'is_clockwise': False, 'unit': 'degree'}}"
ទៅមុខ ៣.៦ ម៉ នៅល្បឿន ៦.៩៨ ម៉ែត្រក្នុង១វិនាទី បន្ត បត់ឆ្វេង ២៧៦ ដឺក្រេ។                                                    ,"{'action': 'move', 'params': {'linear_speed': 6.98, 'distance': 3.6, 'is_forward': True, 'unit': 'meter'}}/n{'action': 'rotate', 'params': {'angle': 276, 'is_clockwise': False, 'unit': 'degree'}}"
ហេតោះទៅមុខ ១៥.៩៦ ម៉ នៅល្បឿន ៨.៨៦ ម៉ែត្រក្នុង១វិនាទី បន្ទាប់មក បត់ឆ្វេង ៥៥ ដឺក្រេ។                                          ,"{'action': 'move', 'params': {'linear_speed': 8.86, 'distance': 15.96, 'is_forward': True, 'unit': 'meter'}}/n{'action': 'rotate', 'params': {'angle': 55, 'is_clockwise': False, 'unit': 'degree'}}"
ហេតោះទៅមុខ ៨.២ ម៉ែតនៅល្បឿន ១.០ ម៉ែត្រក្នុង១វិនាទី បន្ទាប់មក បង្វែស្ដាំ ៤៥ ដឺក្រេ។                                           ,"{'action': 'move', 'params': {'linear_speed': 1.0, 'distance': 8.2, 'is_forward': True, 'unit': 'meter'}}/n{'action': 'rotate', 'params': {'angle': 45, 'is_clockwise': True, 'unit': 'degree'}}"
តោះទៅមុខ ៨.៣៤ ម៉ែតនៅល្បឿន ៣.៩៤ ម៉ែតក្នុង១វិនាទី រួចរាល់ហើយ បត់ស្ដាំ ៣៤៦ ដឺក្រេ។                                            ,"{'action': 'move', 'params': {'linear_speed': 3.94, 'distance': 8.34, 'is_forward': True, 'unit': 'meter'}}/n{'action': 'rotate', 'params': {'angle': 346, 'is_clockwise': True, 'unit': 'degree'}}"
តោះទៅមុខ ៧.៧៣ ម៉ែតក្នុងល្បឿន ៨.៥៧ ម៉ែត្រក្នុង១វិនាទី រួចហើយ បង្វែឆ្វេង ២៧១ ដឺក្រេ។                                          ,"{'action': 'move', 'params': {'linear_speed': 8.57, 'distance': 7.73, 'is_forward': True, 'unit': 'meter'}}/n{'action': 'rotate', 'params': {'angle': 271, 'is_clockwise': False, 'unit': 'degree'}}"
យើងត្រឡប់ក្រោយ ៤.១៧ ម៉ែត្រ ក្នុងល្បឿន ៩.៦៨ ម៉/វិ បន្ត បង្វែស្ដាំ ២៧១ ដឺក្រេ។                                                ,"{'action': 'move', 'params': {'linear_speed': 9.68, 'distance': 4.17, 'is_forward': False, 'unit': 'meter'}}/n{'action': 'rotate', 'params': {'angle': 271, 'is_clockwise': True, 'unit': 'degree'}}"
ហេតោះទៅមុខ ៨.២ ម៉ែត្រ នៅល្បឿន ១.៧៨ ម៉ែត/វិនាទី រួចហើយ បត់ឆ្វេង ៣៥៤ ដឺក្រេ។                                              ,"{'action': 'move', 'params': {'linear_speed': 1.78, 'distance': 8.2, 'is_forward': True, 'unit': 'meter'}}/n{'action': 'rotate', 'params': {'angle': 354, 'is_clockwise': False, 'unit': 'degree'}}"
យើងត្រឡប់ក្រោយ ៣.៤៤ ម៉ែត្រ នៅល្បឿន ៦.០៣ ម៉ែត/វិនាទី រួចហើយ ងាកទៅឆ្វេង ២៤៣ ដឺក្រេ។                                        ,"{'action': 'move', 'params': {'linear_speed': 6.03, 'distance': 3.44, 'is_forward': False, 'unit': 'meter'}}/n{'action': 'rotate', 'params': {'angle': 243, 'is_clockwise': False, 'unit': 'degree'}}"
ហេតោះទៅមុខ ៩.៤២ ម៉ែត្រ នៅល្បឿន ១.៩៨ ម៉ែត/វិនាទី រួចហើយ បត់ឆ្វេង ៣៥៤ ដឺក្រេ។                                             ,"{'action': 'move', 'params': {'linear_speed': 1.98, 'distance': 9.42, 'is_forward': True, 'unit': 'meter'}}/n{'action': 'rotate', 'params': {'angle': 354, 'is_clockwise': False, 'unit': 'degree'}}"
យើងទៅមុខ ២.៣៤ ម៉ែត្រ នៅល្បឿន ៤.០ ម៉/វិ រួចរាល់ហើយ ងាកទៅស្ដាំ ៤៥ ដឺក្រេ។                                                 ,"{'action': 'move', 'params': {'linear_speed': 4.0, 'distance': 2.34, 'is_forward': True, 'unit': 'meter'}}/n{'action': 'rotate', 'params': {'angle': 45, 'is_clockwise': True, 'unit': 'degree'}}"
ត្រឡប់ក្រោយ ១៤.៤៨ ម៉ែត្រ ដោយល្បឿន ១.៩៨ ម៉/វិ រួចរាល់ហើយ ងាកទៅឆ្វេង ៣២៤ ដឺក្រេ។                                           ,"{'action': 'move', 'params': {'linear_speed': 1.98, 'distance': 14.48, 'is_forward': False, 'unit': 'meter'}}/n{'action': 'rotate', 'params': {'angle': 324, 'is_clockwise': False, 'unit': 'degree'}}"
បកក្រោយ ១៦.៩៤ ម៉ែត្រ នៅល្បឿន ៦.៩៨ ម៉ែតក្នុង១វិនាទី បន្ត បត់ឆ្វេង ៣៤៦ ដឺក្រេ។                                              ,"{'action': 'move', 'params': {'linear_speed': 6.98, 'distance': 16.94, 'is_forward': False, 'unit': 'meter'}}/n{'action': 'rotate', 'params': {'angle': 346, 'is_clockwise': False, 'unit': 'degree'}}"
ទៅមុខ ៩.៦៤ ម នៅល្បឿន ៩.៥៧ ម៉ែត/វិនាទី រួចហើយ បត់ឆ្វេង ១០៤ ដឺក្រេ។                                                     ,"{'action': 'move', 'params': {'linear_speed': 9.57, 'distance': 9.64, 'is_forward': True, 'unit': 'meter'}}/n{'action': 'rotate', 'params': {'angle': 104, 'is_clockwise': False, 'unit': 'degree'}}"
យើងទៅមុខ ៨.២ ម ក្នុងល្បឿន ៥.៥២ ម៉ែត្រក្នុង១វិនាទី បន្ត ងាកទៅស្ដាំ ៣៣៩ ដឺក្រេ។                                              ,"{'action': 'move', 'params': {'linear_speed': 5.52, 'distance': 8.2, 'is_forward': True, 'unit': 'meter'}}/n{'action': 'rotate', 'params': {'angle': 339, 'is_clockwise': True, 'unit': 'degree'}}"
ត្រឡប់ក្រោយ ៩.៥៣ ម៉ែត ដោយល្បឿន ៦.៦៥ ម៉/វិ រួចរាល់ហើយ បត់ឆ្វេង ២៩១ ដឺក្រេ។                                                ,"{'action': 'move', 'params': {'linear_speed': 6.65, 'distance': 9.53, 'is_forward': False, 'unit': 'meter'}}/n{'action': 'rotate', 'params': {'angle': 291, 'is_clockwise': False, 'unit': 'degree'}}"
ត្រឡប់ក្រោយ ៦.៦៤ ម៉ែត នៅល្បឿន ៩.៥៧ ម៉ែត្រក្នុង១វិនាទី រួចរាល់ហើយ ងាកទៅឆ្វេង ១៦៣ ដឺក្រេ។                                     ,"{'action': 'move', 'params': {'linear_speed': 9.57, 'distance': 6.64, 'is_forward': False, 'unit': 'meter'}}/n{'action': 'rotate', 'params': {'angle': 163, 'is_clockwise': False, 'unit': 'degree'}}"
ទៅក្រោយ ៨.៣៤ ម៉ែត នៅល្បឿន ៤.៣៥ ម៉/វិ រួចហើយ ងាកទៅឆ្វេង ៣៥៣ ដឺក្រេ។                                                   ,"{'action': 'move', 'params': {'linear_speed': 4.35, 'distance': 8.34, 'is_forward': False, 'unit': 'meter'}}/n{'action': 'rotate', 'params': {'angle': 353, 'is_clockwise': False, 'unit': 'degree'}}"
តោះទៅមុខ ២.២១ ម ក្នុងល្បឿន ៣.៨៣ ម៉/វិ រួចហើយ បង្វែឆ្វេង ២៣ ដឺក្រេ។                                                     ,"{'action': 'move', 'params': {'linear_speed': 3.83, 'distance': 2.21, 'is_forward': True, 'unit': 'meter'}}/n{'action': 'rotate', 'params': {'angle': 23, 'is_clockwise': False, 'unit': 'degree'}}"
យើងទៅមុខ ៣.៧៥ ម៉ ដោយល្បឿន ៨.៥៧ ម៉/វិ បន្ទាប់មក បង្វែឆ្វេង ១២៣ ដឺក្រេ។                                                  ,"{'action': 'move', 'params': {'linear_speed': 8.57, 'distance': 3.75, 'is_forward': True, 'unit': 'meter'}}/n{'action': 'rotate', 'params': {'angle': 123, 'is_clockwise': False, 'unit': 'degree'}}"
ហេតោះទៅមុខ ២.៣៤ ម ដោយល្បឿន ៩.៦៨ ម៉ែត/វិនាទី បន្ទាប់មក បត់ស្ដាំ ៤៥ ដឺក្រេ។                                               ,"{'action': 'move', 'params': {'linear_speed': 9.68, 'distance': 2.34, 'is_forward': True, 'unit': 'meter'}}/n{'action': 'rotate', 'params': {'angle': 45, 'is_clockwise': True, 'unit': 'degree'}}"
ទៅក្រោយ ៣.៧៥ ម៉ែត ក្នុងល្បឿន ២.៩២ ម៉ែតក្នុង១វិនាទី រួចរាល់ហើយ បង្វែស្ដាំ ២៥៧ ដឺក្រេ។                                         ,"{'action': 'move', 'params': {'linear_speed': 2.92, 'distance': 3.75, 'is_forward': False, 'unit': 'meter'}}/n{'action': 'rotate', 'params': {'angle': 257, 'is_clockwise': True, 'unit': 'degree'}}"
បកក្រោយដប់ប្រាំក្បៀសប៉ែតសិបមួយម៉ែត ក្នុងល្បឿន ៤.៧៧ ម៉ែត្រក្នុង១វិនាទី បន្ត ងាកទៅឆ្វេង ១៥២ ដឺក្រេ។                                 ,"{'action': 'move', 'params': {'linear_speed': 4.77, 'distance': 15.81, 'is_forward': False, 'unit': 'meter'}}/n{'action': 'rotate', 'params': {'angle': 152, 'is_clockwise': False, 'unit': 'degree'}}"
ហេតោះទៅមុខដប់បួនក្បៀសសែសិបប្រាំបីម៉ែត្រ ក្នុងល្បឿន ១.៩៨ ម៉ែតក្នុង១វិនាទី រួចរាល់ហើយ បត់ឆ្វេង ៣៥០ ដឺក្រេ។                            ,"{'action': 'move', 'params': {'linear_speed': 1.98, 'distance': 14.48, 'is_forward': True, 'unit': 'meter'}}/n{'action': 'rotate', 'params': {'angle': 350, 'is_clockwise': False, 'unit': 'degree'}}"
យើងទៅមុខបីចុចសាមសិបប្រាំបីម៉ែត្រ ក្នុងល្បឿនប្រាំបួនចុចដប់ប្រាំម៉/វិ បន្ត បត់ឆ្វេង ៨១ ដឺក្រេ។                                          ,"{'action': 'move', 'params': {'linear_speed': 9.15, 'distance': 3.38, 'is_forward': True, 'unit': 'meter'}}/n{'action': 'rotate', 'params': {'angle': 81, 'is_clockwise': False, 'unit': 'degree'}}"
ទៅក្រោយ ១៩.០៦ ម៉ែត្រ នៅល្បឿនមួយចុចដប់ប្រាំម៉ែត្រក្នុង១វិនាទី បន្ទាប់មក ងាកទៅស្ដាំ ២៤៤ ដឺក្រេ។                                    ,"{'action': 'move', 'params': {'linear_speed': 1.15, 'distance': 19.06, 'is_forward': False, 'unit': 'meter'}}/n{'action': 'rotate', 'params': {'angle': 244, 'is_clockwise': True, 'unit': 'degree'}}"
បត់ស្ដាំ ២១៣ ដឺក្រេល្បឿន ២ ម៉ែត/វិនាទី                                                                               ,"{'action': 'rotate', 'params': {'angular_velocity': 2, 'angle': 213, 'is_clockwise': True, 'unit': 'degrees'}}"
ងាកទៅស្ដាំ ៨៥ ដឺក្រេ ល្បឿន ១ ម៉ែត/វិ                                                                               ,"{'action': 'rotate', 'params': {'angular_velocity': 1, 'angle': 85, 'is_clockwise': True, 'unit': 'degrees'}}"
បត់ស្ដាំ ២៧៧ ដឺក្រេ ល្បឿន ១ ម៉/វិ                                                                                   ,"{'action': 'rotate', 'params': {'angular_velocity': 1, 'angle': 277, 'is_clockwise': True, 'unit': 'degrees'}}"
ងាកទៅឆ្វេង ១៤២ ដឺក្រេ ល្បឿន ៤ ម៉ែត្រក្នុង១វិនាទី                                                                      ,"{'action': 'rotate', 'params': {'angular_velocity': 4, 'angle': 142, 'is_clockwise': False, 'unit': 'degrees'}}"
បង្វែឆ្វេង ៣៥២ ដឺក្រេ នៅល្បឿន ១០ ម៉ែត្រក្នុង១វិនាទី                                                                    ,"{'action': 'rotate', 'params': {'angular_velocity': 10, 'angle': 352, 'is_clockwise': False, 'unit': 'degrees'}}"
បង្វែស្ដាំ ៣២៤ ដឺក្រេ នៅល្បឿន ដប់ ម៉/វិនាទី                                                                           ,"{'action': 'rotate', 'params': {'angular_velocity': 10, 'angle': 324, 'is_clockwise': True, 'unit': 'degrees'}}"
បង្វែឆ្វេង ពីររយ ដឺក្រេ នៅល្បឿន មួយ ម៉ែត្រ/វិនាទី                                                                      ,"{'action': 'rotate', 'params': {'angular_velocity': 1, 'angle': 200, 'is_clockwise': False, 'unit': 'degrees'}}"
បត់ស្ដាំ មួយរយប៉ែតសិបបី ដឺក្រេ ក្នុងល្បឿន មួយ ម៉ែតក្នុង១វិ                                                                   ,"{'action': 'rotate', 'params': {'angular_velocity': 1, 'angle': 183, 'is_clockwise': True, 'unit': 'degrees'}}"
បត់ស្ដាំ ២៤៩ ដឺក្រេ ល្បឿន ២ ម៉ែត្រ/វិ                                                                                ,"{'action': 'rotate', 'params': {'angular_velocity': 2, 'angle': 249, 'is_clockwise': True, 'unit': 'degrees'}}"
បត់ស្ដាំ ១៧៦ ដឺក្រេ នៅល្បឿន ៦ ម៉ែត/វិនាទី                                                                            ,"{'action': 'rotate', 'params': {'angular_velocity': 6, 'angle': 176, 'is_clockwise': True, 'unit': 'degrees'}}"
បង្វែឆ្វេង ៨៩ ដឺក្រេ នៅល្បឿន ៤ ម៉ែតក្នុង១វិ                                                                          ,"{'action': 'rotate', 'params': {'angular_velocity': 4, 'angle': 89, 'is_clockwise': False, 'unit': 'degrees'}}"
ងាកទៅឆ្វេង ២៧៧ ដឺក្រេ នៅល្បឿន ៥ ម៉ែត្រ/វិ                                                                          ,"{'action': 'rotate', 'params': {'angular_velocity': 5, 'angle': 277, 'is_clockwise': False, 'unit': 'degrees'}}"
បង្វែឆ្វេង ២៣០ ដឺក្រេ ប្រើល្បឿន ១០ ម៉ែត/វិ                                                                          ,"{'action': 'rotate', 'params': {'angular_velocity': 10, 'angle': 230, 'is_clockwise': False, 'unit': 'degrees'}}"
បង្វែឆ្វេង ៣៦០ ដឺក្រេ ល្បឿន ៤ ម៉ែត្រក្នុង១វិនាទី                                                                       ,"{'action': 'rotate', 'params': {'angular_velocity': 4, 'angle': 360, 'is_clockwise': False, 'unit': 'degrees'}}"
បត់ស្ដាំ ១៨៨ ដឺក្រេល្បឿន ៨ ម៉ែត្រក្នុង១វិនាទី                                                                           ,"{'action': 'rotate', 'params': {'angular_velocity': 8, 'angle': 188, 'is_clockwise': True, 'unit': 'degrees'}}"
បង្វែស្ដាំ ១១៧ ដឺក្រេ ល្បឿន ៨ ម៉/វិ                                                                                 ,"{'action': 'rotate', 'params': {'angular_velocity': 8, 'angle': 117, 'is_clockwise': True, 'unit': 'degrees'}}"
បត់ឆ្វេង ២០៤ ដឺក្រេប្រើល្បឿន ៩ ម៉ែត្រ/វិនាទី                                                                          ,"{'action': 'rotate', 'params': {'angular_velocity': 9, 'angle': 204, 'is_clockwise': False, 'unit': 'degrees'}}"
បង្វែស្ដាំ ៤១ ដឺក្រេ នៅល្បឿន ៨ ម៉ែត/វិ                                                                              ,"{'action': 'rotate', 'params': {'angular_velocity': 8, 'angle': 41, 'is_clockwise': True, 'unit': 'degrees'}}"
ងាកទៅឆ្វេង ២៨៨ ដឺក្រេ ល្បឿន ២ ម៉ែត្រ/វិ                                                                            ,"{'action': 'rotate', 'params': {'angular_velocity': 2, 'angle': 288, 'is_clockwise': False, 'unit': 'degrees'}}"
បត់ស្ដាំ ៨៦ ដឺក្រេ ល្បឿន ៩ ម/វិ                                                                                    ,"{'action': 'rotate', 'params': {'angular_velocity': 9, 'angle': 86, 'is_clockwise': True, 'unit': 'degrees'}}"
បង្វែស្ដាំ ៣០៦ ដឺក្រេ ល្បឿន ៦ មក្នុង១វិ                                                                              ,"{'action': 'rotate', 'params': {'angular_velocity': 6, 'angle': 306, 'is_clockwise': True, 'unit': 'degrees'}}"
បង្វែឆ្វេង ២១ ដឺក្រេ ល្បឿន ៦ ម៉ែត្រក្នុង១វិនាទី                                                                        ,"{'action': 'rotate', 'params': {'angular_velocity': 6, 'angle': 21, 'is_clockwise': False, 'unit': 'degrees'}}"
បង្វែស្ដាំ ២៣៥ ដឺក្រេ ល្បឿន ៥ ម៉ែត/វិនាទី                                                                            ,"{'action': 'rotate', 'params': {'angular_velocity': 5, 'angle': 235, 'is_clockwise': True, 'unit': 'degrees'}}"
បត់ឆ្វេង ៤០ ដឺក្រេ ល្បឿន ២ ម៉/វិនាទី                                                                                ,"{'action': 'rotate', 'params': {'angular_velocity': 2, 'angle': 40, 'is_clockwise': False, 'unit': 'degrees'}}"
ងាកទៅឆ្វេង ២៨២ ដឺក្រេល្បឿន ៤ ម៉ែត្រ/វិនាទី                                                                          ,"{'action': 'rotate', 'params': {'angular_velocity': 4, 'angle': 282, 'is_clockwise': False, 'unit': 'degrees'}}"
បត់ឆ្វេង ១១៨ ដឺក្រេ ៨ ម៉/វិ                                                                                       ,"{'action': 'rotate', 'params': {'angular_velocity': 8, 'angle': 118, 'is_clockwise': False, 'unit': 'degrees'}}"
បត់ស្ដាំ ១៧៥ ដឺក្រេ  ៩ ម៉ែត/វិនាទី                                                                                  ,"{'action': 'rotate', 'params': {'angular_velocity': 9, 'angle': 175, 'is_clockwise': True, 'unit': 'degrees'}}"
ងាកទៅស្ដាំ ៧២ ដឺក្រេ ល្បឿន ៨ ម៉ែត្រ/វិនាទី                                                                           ,"{'action': 'rotate', 'params': {'angular_velocity': 8, 'angle': 72, 'is_clockwise': True, 'unit': 'degrees'}}"
បត់ស្ដាំ ១០២ ដឺក្រេ  ៦ ម៉ែត/វិ                                                                                     ,"{'action': 'rotate', 'params': {'angular_velocity': 6, 'angle': 102, 'is_clockwise': True, 'unit': 'degrees'}}"
បង្វែឆ្វេង ៣០៧ ដឺក្រេ៥ ម៉ែត្រ/វិនាទី                                                                                ,"{'action': 'rotate', 'params': {'angular_velocity': 5, 'angle': 307, 'is_clockwise': False, 'unit': 'degrees'}}"
